"","HUC8","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"11","15030202",387.278472900391,353.575317382812,313.945648193359,308.767211914062,255.625061035156,344.547912597656,307.372894287109,575.404541015625,355.050354003906,367.210632324219,393.203918457031,387.196105957031,369.148223876953,340.794982910156,358.667724609375,338.807464599609,312.900634765625,241.805099487305,376.677124023438,324.413970947266,547.782592773438,421.247222900391,390.754058837891,377.026489257812,466.289825439453,504.01708984375,424.834686279297,422.376342773438,417.035980224609,414.430755615234,374.929565429688,243.28059387207,468.840270996094,435.2666015625,521.432373046875,359.440826416016,368.317718505859,330.214141845703,258.958831787109,351.660339355469,408.720886230469,294.673645019531,277.310272216797,267.82470703125,155.976654052734,315.886566162109,460.684234619141,367.445098876953,229.063980102539,319.008911132812,335.626312255859,241.889419555664,356.309631347656,277.876342773438,394.179077148438,349.842224121094,303.903259277344,441.610504150391,354.344818115234,270.383117675781,341.947631835938,453.32275390625,211.826599121094,347.985778808594,331.346710205078
"12","15030203",379.711608886719,368.173431396484,302.246978759766,316.264007568359,264.988159179688,343.571960449219,315.642028808594,581.619445800781,362.413696289062,382.028137207031,397.989105224609,384.391571044922,377.564819335938,325.458190917969,360.478240966797,342.07861328125,327.342620849609,228.215286254883,376.268341064453,318.945648193359,568.941528320312,414.614074707031,391.048400878906,387.091827392578,491.538970947266,518.402038574219,426.583129882812,432.693176269531,427.500671386719,431.32568359375,370.171478271484,251.990615844727,460.013977050781,443.3603515625,541.721313476562,387.357543945312,368.136566162109,344.778350830078,260.004211425781,353.090454101562,426.164123535156,301.656402587891,292.031005859375,273.404541015625,167.422882080078,326.813446044922,454.402770996094,365.338409423828,239.275955200195,336.479736328125,352.761505126953,250.811660766602,371.664306640625,283.697387695312,362.258422851562,372.427124023438,317.261077880859,442.609588623047,361.107238769531,263.402069091797,336.827270507812,491.819274902344,231.441314697266,412.042755126953,330.907257080078
"13","15030204",214.388214111328,247.192031860352,158.40397644043,157.836364746094,136.676712036133,207.707885742188,146.639770507812,362.473327636719,214.539535522461,230.970581054688,185.621017456055,219.047943115234,203.632843017578,169.207015991211,206.493789672852,206.066680908203,189.190353393555,117.612686157227,234.854782104492,215.625106811523,437.915771484375,264.449890136719,248.746536254883,209.234786987305,301.029724121094,316.684509277344,299.106140136719,263.0361328125,256.213287353516,239.135864257812,245.269729614258,135.953643798828,254.123031616211,265.954620361328,401.747711181641,248.583145141602,274.299713134766,187.56916809082,140.974105834961,226.303588867188,238.932632446289,162.32975769043,151.021499633789,164.632858276367,84.3917846679688,181.746948242188,294.300262451172,216.685821533203,102.959144592285,170.488571166992,163.983810424805,152.349853515625,190.502914428711,155.619003295898,226.301422119141,203.966110229492,174.373611450195,246.356430053711,209.183303833008,160.161315917969,204.818069458008,321.019439697266,134.126159667969,151.819564819336,154.150604248047
"14","15040007",490.241333007812,478.826171875,394.33447265625,460.180023193359,413.923614501953,420.326690673828,476.735321044922,512.92822265625,462.963623046875,444.596984863281,554.308166503906,405.9365234375,356.616760253906,411.846405029297,448.933410644531,461.478088378906,418.845367431641,396.131896972656,403.261840820312,455.7109375,673.372985839844,481.041320800781,493.572143554688,453.864196777344,622.43994140625,763.355895996094,611.875427246094,563.724182128906,548.718627929688,496.732727050781,471.141540527344,320.569519042969,517.51611328125,536.887756347656,679.411743164062,466.171936035156,506.143249511719,414.333526611328,408.340240478516,406.515838623047,471.545684814453,371.992065429688,469.398101806641,436.082275390625,271.717376708984,396.911743164062,482.880920410156,386.995758056641,415.610534667969,433.801361083984,493.868804931641,349.948303222656,473.488220214844,443.222900390625,372.683349609375,442.274627685547,413.839508056641,625.729553222656,479.375823974609,334.682495117188,468.710235595703,612.055908203125,286.610473632812,580.0068359375,453.562744140625
"15","15060101",591.183349609375,506.18896484375,418.567535400391,490.027557373047,494.03857421875,461.614410400391,534.915893554688,530.152954101562,493.750671386719,482.190277099609,551.301635742188,491.654357910156,387.492919921875,450.568603515625,498.115539550781,456.609191894531,440.654571533203,488.559631347656,443.919738769531,547.782287597656,555.936462402344,483.870330810547,517.472412109375,503.414672851562,589.557434082031,758.003540039062,658.806823730469,588.276489257812,576.997497558594,524.791748046875,561.540283203125,350.70947265625,511.605316162109,525.996826171875,650.691223144531,459.524810791016,527.380249023438,427.0166015625,481.848907470703,482.156524658203,556.81005859375,484.947814941406,454.447448730469,505.184478759766,422.41162109375,436.249603271484,483.190765380859,403.518859863281,494.297637939453,468.486236572266,555.155029296875,375.586730957031,517.748840332031,471.474212646484,435.096862792969,504.210601806641,463.530548095703,710.450500488281,528.186828613281,431.673065185547,513.383483886719,599.327697753906,309.574157714844,565.763488769531,538.153869628906
"16","15060102",588.526794433594,521.103942871094,415.936950683594,495.215118408203,475.649658203125,467.710083007812,555.397033691406,538.359130859375,468.323852539062,498.395629882812,555.470336914062,528.260986328125,401.943359375,464.203643798828,489.523101806641,449.0166015625,459.666809082031,507.114532470703,481.595977783203,569.433654785156,559.186889648438,470.436431884766,526.243713378906,528.169311523438,601.463012695312,719.083923339844,687.587768554688,578.483337402344,589.017944335938,521.784484863281,555.344543457031,376.165985107422,521.663024902344,510.497009277344,664.279296875,459.718688964844,550.113098144531,431.156646728516,472.305480957031,492.386169433594,546.896728515625,490.526062011719,465.128753662109,512.827758789062,436.163116455078,448.257476806641,497.188018798828,396.894256591797,486.211059570312,455.124633789062,542.310668945312,373.387786865234,501.263458251953,481.872802734375,441.918518066406,520.036499023438,465.773468017578,721.205139160156,542.039611816406,418.961395263672,512.812805175781,591.626708984375,326.905914306641,566.500915527344,593.206665039062
"17","15060103",494.987396240234,472.341278076172,408.763885498047,412.200256347656,405.401794433594,443.356719970703,480.738189697266,541.835571289062,473.439636230469,442.461547851562,594.463745117188,475.813812255859,390.818145751953,421.310791015625,444.417999267578,456.466400146484,453.891967773438,424.964935302734,455.444458007812,459.517486572266,654.759582519531,490.038909912109,499.248199462891,474.072265625,633.56103515625,742.547668457031,642.349975585938,601.505065917969,558.051147460938,542.198059082031,502.714721679688,368.289855957031,539.513427734375,545.450805664062,715.195251464844,493.139831542969,511.507720947266,446.187774658203,397.834533691406,414.655487060547,523.571533203125,402.456817626953,471.478820800781,473.422821044922,267.126281738281,438.986755371094,494.733123779297,387.426635742188,417.210845947266,394.679992675781,527.075378417969,361.957885742188,490.936126708984,439.472991943359,392.849670410156,492.578887939453,421.942199707031,653.098022460938,496.196075439453,349.588928222656,481.188812255859,606.802490234375,318.113983154297,557.011962890625,483.4814453125
"18","15060104",521.942077636719,475.803314208984,384.669067382812,424.937347412109,408.270782470703,416.904052734375,497.379272460938,492.858062744141,408.470031738281,421.736572265625,521.362060546875,496.624816894531,365.392486572266,417.319641113281,447.187866210938,417.942199707031,411.669250488281,470.883514404297,439.719696044922,502.101684570312,555.655212402344,460.093627929688,495.892150878906,478.996948242188,594.594543457031,663.884582519531,643.658874511719,559.29736328125,540.780944824219,510.066040039062,513.5625,343.448577880859,477.289245605469,493.598266601562,658.982421875,438.066650390625,509.902038574219,397.437591552734,408.632049560547,430.368682861328,505.986968994141,437.249816894531,451.451843261719,461.904876708984,339.567352294922,413.529510498047,472.228607177734,365.716064453125,422.277038574219,382.181732177734,483.159088134766,324.653869628906,453.303588867188,429.549133300781,392.393951416016,482.011932373047,417.101867675781,665.101440429688,485.663269042969,347.323974609375,480.575561523438,562.202087402344,297.573638916016,522.45361328125,495.148803710938
"19","15060105",508.799041748047,461.833740234375,421.577301025391,408.417083740234,415.244720458984,467.431304931641,473.534210205078,610.34130859375,491.759246826172,454.880828857422,572.008972167969,484.850616455078,431.7802734375,407.950164794922,438.292144775391,450.635711669922,475.369293212891,415.567504882812,485.615386962891,451.394836425781,634.869995117188,488.793121337891,481.260986328125,503.985961914062,640.168518066406,761.698303222656,621.440551757812,617.057556152344,575.238342285156,570.987487792969,545.92333984375,391.800201416016,587.920959472656,569.096923828125,726.618103027344,510.458374023438,507.440460205078,472.044189453125,391.402465820312,441.677795410156,583.203063964844,409.099945068359,464.249847412109,471.544738769531,251.463287353516,473.330352783203,518.605163574219,385.294616699219,412.965454101562,391.801910400391,542.109252929688,385.486236572266,521.901306152344,439.318023681641,407.21923828125,526.069091796875,425.673889160156,654.911865234375,506.105407714844,359.831726074219,472.616333007812,605.949279785156,343.974914550781,625.427429199219,508.330535888672
"20","15070104",195.505157470703,255.459289550781,147.291229248047,188.068328857422,151.580032348633,206.443115234375,188.276229858398,357.195526123047,225.123321533203,262.855377197266,227.478805541992,210.30908203125,219.455703735352,163.942840576172,209.151733398438,190.004318237305,205.364517211914,124.503883361816,247.501892089844,215.324966430664,439.561309814453,248.851837158203,234.607711791992,194.670501708984,321.052764892578,322.788970947266,328.559051513672,273.860900878906,244.22265625,257.213592529297,230.171340942383,146.139755249023,251.110427856445,269.092224121094,396.358703613281,274.803924560547,261.698059082031,195.255447387695,141.801193237305,218.901718139648,251.343185424805,165.735610961914,170.207412719727,172.6962890625,92.8946914672852,191.952453613281,264.423706054688,203.205795288086,125.316703796387,183.305160522461,176.923004150391,154.327987670898,204.583358764648,166.980316162109,199.492965698242,223.834365844727,192.105087280273,252.013137817383,216.674697875977,151.70573425293,204.367584228516,359.093048095703,153.439956665039,183.513671875,148.618835449219
