HUC8,SITENUM,YEAR,LAT,LONG,BFI,PRECIP_MM,TEMP_C,AREA_KM2,SLOPE_DEGREES,ELEVATION_FT,ET_MM,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
15070102,9512501,1944,34.3153073,-112.0640455,0.221,377.65,17.0621,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512501,1945,34.3153073,-112.0640455,0.233,304.05,17.2554,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512501,1946,34.3153073,-112.0640455,0.262,377.06,17.6578,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512501,1947,34.3153073,-112.0640455,0.307,237.26,17.8494,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512501,1948,34.3153073,-112.0640455,0.166,255.67,17.4533,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512501,1949,34.3153073,-112.0640455,0.151,368.68,17.1129,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512501,1950,34.3153073,-112.0640455,0.231,194.17,18.4991,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,2020,34.3153073,-112.0640455,0.115,214.79,19.8999,7115.792,9.0052,3482.317,281.592,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,2021,34.3153073,-112.0640455,0.143,373.59,19.6246,7115.792,9.0052,3482.317,478.7204,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,1941,34.3153073,-112.0640455,0.153,625.98,16.8859,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512500,1942,34.3153073,-112.0640455,0.368,237.89,17.6015,7115.792,9.0052,3482.317,377.6241,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
15070102,9512800,2006,34.01558948,-112.1679378,0.169,212.79,19.0679,7115.792,9.0052,1801.672,280.1955,0.0665,0.3292,0.3608,0.5901,0,0,0,0,0.0052,0.0374,0.0458,0.0667,0.0198,7e-4,0,0.0723,0,0.6684,0.0618,1e-4,0.0206,0.0011,3e-4,0.0902,0.165,0.0712,0,0.0098,0,0.0032,0.2356,0.0832,0.3258,0,0,0.1054,0,0.0011,0.3506,0.6484
